Date,Open,High,Low,Close,Volume,OpenInt
20141126,5.39,5.68,5.3,5.3,1166,0
20141127,5.65,5.65,5.55,5.56,804,0
20141128,5.6,5.88,5.55,5.88,471,0
20141201,5.89,6.15,5.89,6.15,536,0
20141202,6.08,6.08,6.05,6.05,132,0
20141203,5.98,5.98,5.9,5.9,136,0
20141204,5.84,5.84,5.45,5.79,578,0
20141205,5.69,5.69,5.69,5.69,6,0
20141208,5.41,5.54,5.41,5.54,2,0
20141209,5.54,5.54,5.43,5.43,4,0
20141210,5.56,5.56,5.2,5.2,121,0
20141211,5.38,5.38,5.27,5.27,10,0
20141212,5.27,5.27,4.93,5.04,111,0
20141215,5.17,5.17,5.17,5.17,1,0
20141216,5.38,5.38,5.38,5.38,1,0
20141217,5.11,5.11,5.01,5.01,298,0
20141218,5.39,5.39,5.39,5.39,2,0
20141219,5.26,5.26,5.26,5.26,2,0
20141222,5.26,5.26,5.2,5.2,2,0
20141223,5.26,5.26,4.99,5.25,6,0
20141229,5.26,5.26,5.26,5.26,3,0
20141230,5.25,5.25,4.81,5.25,772,0
20150105,5.16,5.16,5.16,5.16,3,0
20150107,5.42,5.95,5.42,5.95,2631,0
20150108,5.5,5.94,5.5,5.94,4910,0
20150109,6,6.57,6,6,3002,0
20150112,6.25,6.57,6.07,6.57,3744,0
20150113,6.5,6.65,6.16,6.65,3573,0
20150114,6.65,6.65,6.65,6.65,12,0
20150115,6.65,6.65,6.5,6.5,397,0
20150116,6.65,6.65,6.65,6.65,6,0
20150119,7.25,7.25,6.64,7,718,0
20150120,7.6,7.6,7,7,1310,0
20150121,7.5,7.5,7,7.13,2142,0
20150122,7.5,7.5,7.01,7.5,2255,0
20150123,7.5,7.5,7.01,7.26,2927,0
20150126,7.5,7.5,7.07,7.5,2041,0
20150127,7.5,7.5,7.07,7.29,1434,0
20150128,7,7,6.98,7,3000,0
20150129,7,7,6.66,7,5738,0
20150130,7.5,8.2,6.85,8.2,2259,0
20150202,8.2,8.2,7.81,7.81,5,0
20150203,8.31,8.31,6.84,7.04,1165,0
20150204,6.92,7.05,6.68,7.05,1962,0
20150205,6.85,7,6.85,7,1260,0
20150210,6.75,6.79,6.49,6.76,1944,0
20150211,6.52,6.84,6.25,6.84,3100,0
20150216,6.68,7,6.68,7,1600,0
20150217,6.85,6.85,6.85,6.85,200,0
20150218,7,7,7,7,2,0
20150219,7,7,7,7,1,0
20150220,7,7,7,7,1,0
20150223,7,7,7,7,2,0
20150225,7,7,7,7,2,0
20150226,7,7,7,7,2,0
20150227,7,7,7,7,3,0
20150302,7,7,7,7,1,0
20150303,7,7,7,7,4,0
20150304,7,7,7,7,2,0
20150305,7,7.3,6.6,7.3,5002,0
20150306,7,7,6.56,7,1257,0
20150309,7,7,7,7,3,0
20150310,7,7,7,7,2,0
20150311,7,7,7,7,2,0
20150312,7,7,7,7,5,0
20150313,7,7,7,7,2,0
20150323,6.29,6.29,6.29,6.29,3,0
20150324,6.29,6.29,6.29,6.29,3,0
20150325,6.29,6.29,6.29,6.29,3,0
20150326,6.29,6.29,5.67,5.67,1322,0
20150327,5.67,5.67,5.67,5.67,3,0
20150330,5.67,5.67,5.67,5.67,2,0
20150331,5.67,5.67,5.11,5.11,602,0
20150401,5.11,5.11,5.11,5.11,2,0
20150402,5.11,5.11,5.11,5.11,2,0
20150407,5.08,5.08,5.08,5.08,3,0
20150408,5.08,5.59,5.08,5.59,3694,0
20150409,5.59,5.59,5.18,5.43,5260,0
20150410,5.88,6,5.88,6,4,0
20150413,6.29,6.29,6.29,6.29,2,0
20150414,6.29,6.29,6.29,6.29,80,0
20150416,5.9,5.9,5.31,5.31,2959,0
20150417,5.8,5.8,5.45,5.46,355,0
20150420,5.9,5.9,5.46,5.47,5775,0
20150421,5.8,5.8,5.8,5.8,2,0
20150422,5.8,5.8,5.8,5.8,103,0
20150423,5.8,5.8,5.8,5.8,2,0
20150424,5.8,5.8,5.8,5.8,3,0
20150427,5.8,5.8,5.8,5.8,10,0
20150428,5.8,5.8,5.3,5.3,589,0
20150429,5.8,5.8,5.8,5.8,7,0
20150430,5.7,5.7,5.7,5.7,5,0
20150504,5.3,5.3,5.3,5.3,21,0
20150505,5.3,5.3,5.3,5.3,1100,0
20150506,5.3,5.3,5.3,5.3,10,0
20150507,5.3,5.3,5.3,5.3,2,0
20150508,5.3,5.3,5.3,5.3,2,0
20150511,5.3,5.3,5.3,5.3,2,0
20150513,5.25,5.25,4.9,5,1546,0
20150514,5.21,5.21,5.21,5.21,2,0
20150515,5.21,5.21,5.21,5.21,3,0
20150518,5.3,5.3,5.3,5.3,3,0
20150519,5.3,5.3,4.79,4.79,3,0
20150520,4.79,4.79,4.79,4.79,3,0
20150521,4.72,4.72,4.65,4.65,53,0
20150525,4.81,4.81,4.6,4.78,4473,0
20150527,4.76,4.79,4.76,4.79,1000,0
20150528,5.25,5.25,4.4,4.6,3829,0
20150529,4.22,4.55,4,4,14,0
20150601,4,4.4,4,4.4,27,0
20150602,3.8,4.18,3.8,4.18,105,0
20150603,4.37,4.37,4.37,4.37,5,0
20150605,4.1,4.11,3.7,4,568,0
20150608,4,4,3.8,4,280,0
20150609,4,4,4,4,2,0
20150610,4,4,3.7,3.7,7,0
20150611,4,4,3.7,3.7,7,0
20150615,4.07,4.07,3.85,3.85,60,0
20150619,3.81,3.81,3.45,3.45,3045,0
20150622,4.4,4.4,4.4,4.4,300,0
20150623,3.41,3.5,3.41,3.5,508,0
20150626,3.67,3.67,3.5,3.5,2945,0
20150629,3.85,3.85,3.85,3.85,2,0
20150630,4.19,4.19,3.8,3.8,11,0
20150701,3.91,3.91,3.51,3.51,578,0
20150707,3.81,3.81,3.42,3.61,513,0
20150708,3.91,3.91,3.91,3.91,2,0
20150709,3.91,3.91,3.91,3.91,2,0
20150710,3.91,3.91,3.91,3.91,2,0
20150713,3.91,3.91,3.91,3.91,3,0
20150714,3.91,3.91,3.91,3.91,2,0
20150715,3.91,3.91,3.52,3.52,13,0
20150717,3.54,3.54,3.54,3.54,3,0
20150722,3.53,3.53,3.15,3.15,434,0
20150723,3.17,3.17,3.17,3.17,5,0
20150724,3.47,3.47,3.13,3.13,22,0
20150728,3.15,3.15,3.15,3.15,560,0
20150731,3.2,3.2,3.08,3.08,8351,0
20150803,3.05,3.05,3,3,303,0
20150804,3.08,3.1,3,3.1,174,0
20150805,3.2,3.2,2.91,3.01,3359,0
20150806,3.1,3.1,2.78,2.78,1953,0
20150807,2.75,3.02,2.75,3.02,133,0
20150810,3.07,3.1,2.91,3.09,427,0
20150811,3.09,3.09,2.88,2.88,959,0
20150812,3,3,2.7,2.7,3793,0
20150813,2.8,2.8,2.53,2.53,2465,0
20150814,2.6,2.65,2.6,2.61,35,0
20150817,2.65,2.65,2.39,2.45,1189,0
20150818,2.5,2.5,2.39,2.39,134,0
20150819,2.53,2.53,2.3,2.41,2807,0
20150820,2.45,2.5,2.35,2.35,186,0
20150821,2.5,2.5,2.38,2.4,31,0
20150824,2.5,2.5,2.25,2.5,484,0
20150825,2.5,2.5,2.5,2.5,1,0
20150826,2.35,2.35,2.21,2.35,159,0
20150827,2.35,2.35,2.2,2.2,72,0
20150828,2.28,2.28,2.07,2.18,8481,0
