20150416,25,26.95,25,26.95,227078,0
20150417,27,28,26.22,26.45,76991,0
20150420,26.45,27.12,25.5,26.9,56942,0
20150421,26.66,26.7,26.49,26.49,11961,0
20150422,26.16,26.5,25.8,26.2,13085,0
20150423,26.3,26.3,25.61,25.75,11603,0
20150424,25.53,25.7,25.2,25.7,43277,0
20150427,25.25,25.9,25.25,25.7,12452,0
20150428,25.5,26.4,25.5,26.4,31901,0
20150429,25.85,26.39,25.8,26.39,5947,0
20150430,26,26.38,25.72,26.38,4605,0
20150504,26,27.19,26,27.19,48474,0
20150505,26.91,27.2,26.8,27.2,43182,0
20150506,27.2,28,26.9,28,31275,0
20150507,28.5,28.9,28,28.15,28681,0
20150508,28,28.5,27.8,28,8703,0
20150511,28,28,27.55,28,15228,0
20150512,27.98,27.98,26.33,27.87,3056,0
20150513,27.5,27.84,27.1,27.7,4988,0
20150514,27.7,28.05,27.1,28,6198,0
20150515,28,28.5,27.42,28.5,6971,0
20150518,28.4,28.5,27.58,27.58,7208,0
20150519,27.4,28.2,27.12,28.2,6720,0
20150520,28.48,28.48,27.4,28,864,0
20150521,27.72,28,27.6,28,1960,0
20150522,28,28,27.6,27.85,1285,0
20150525,27.3,27.7,27.28,27.7,2055,0
20150526,27.5,27.6,26.91,27.28,4801,0
20150527,27,27.5,27,27.5,2514,0
20150528,27.55,28,27.03,28,16500,0
20150529,27.26,28,27.26,28,974,0
20150601,27.5,27.8,27.2,27.8,365,0
20150602,27.91,27.91,27.1,27.7,2782,0
20150603,27.7,27.7,27.12,27.32,5394,0
20150605,27,27,26.41,26.5,10102,0
20150608,26.5,26.5,25.33,26.45,7266,0
20150609,26.4,26.4,26.3,26.3,710,0
20150610,25.63,26.1,25.18,26.1,17221,0
20150611,26.1,26.2,25.37,26.2,2803,0
20150612,25.52,26.4,25.52,26.4,726,0
20150615,25.81,26.3,25.81,26.3,865,0
20150616,25.71,26.29,25.71,26.15,699,0
20150617,25.71,26.15,25.71,26.15,943,0
20150618,26.12,26.12,24.5,25.38,6670,0
20150619,25.38,25.38,24.85,25.36,12340,0
20150622,24.8,25.29,24.8,25.29,1400,0
20150623,25.4,25.5,25,25.5,13602,0
20150624,26,26.2,25.5,25.7,31419,0
20150625,25.99,26.39,25.7,26,11317,0
20150626,26,26,25.46,26,4752,0
20150629,25.01,26,24.55,26,10117,0
20150630,25.5,26.26,25.5,26.26,4510,0
20150701,25.41,26.5,25.41,26,2292,0
20150702,26,26,25.76,26,1143,0
20150703,26,26,25.92,26,533,0
20150706,25.55,25.87,25.25,25.8,3670,0
20150707,25.34,25.8,25.2,25.8,2515,0
20150708,25.4,25.4,24.8,25.19,3429,0
20150709,24.8,25.16,23.6,25.16,3724,0
20150710,25,25.87,25,25.87,2079,0
20150713,25.99,26,25.7,25.89,1295,0
20150714,25.04,25.69,25.04,25.69,3282,0
20150715,25,25.69,25,25.69,1341,0
20150716,25.69,25.69,25.69,25.69,60,0
20150717,25.11,26,25.11,25.7,686,0
20150720,26,26,25.69,25.69,3681,0
20150721,25.6,25.69,25.6,25.69,6063,0
20150722,25.42,25.58,24.68,25.58,1379,0
20150723,24.61,25.2,24.61,25.2,861,0
20150724,24.64,25.2,24.64,25.15,1853,0
20150727,25.12,25.12,24.57,25.11,490,0
20150728,25.11,25.5,25.1,25.5,988,0
20150729,25.8,25.88,25.5,25.69,13162,0
20150730,25.6,26,25.6,25.9,749,0
20150731,25.9,26.09,25.71,26,7937,0
20150803,26,26,26,26,642,0
20150804,26,26,25.9,25.9,2541,0
20150805,25.9,25.9,25.8,25.8,714,0
20150806,25,25.6,25,25.59,7940,0
20150807,25.2,26,25.08,26,1197,0
20150810,26,26,25.62,25.62,98,0
20150811,26,26,25.6,25.6,59,0
20150812,25.6,25.6,25.6,25.6,1207,0
20150813,25.6,25.6,25.6,25.6,69,0
20150814,25.6,25.6,25.6,25.6,138,0
20150817,25.55,25.6,25.5,25.6,2068,0
20150818,25.02,25.7,25.02,25.7,207,0
20150819,24.32,25.9,24.32,25.85,674,0
20150820,25.2,25.95,25.2,25.9,1498,0
20150821,25.9,25.9,25.6,25.6,220,0
20150824,24.04,25,24.04,25,7272,0
20150825,25,25,25,25,12,0
20150826,24.15,25,24.15,25,112,0
20150827,24.95,24.95,24.9,24.9,1440,0
20150828,24.95,24.95,24.95,24.95,19,0
20150831,24.95,25.77,24.95,25.77,1300,0
20150901,24.7,25.3,24.7,25.3,66,0
20150902,24.77,25.5,24.77,25.5,467,0
20150903,25.3,25.49,25.3,25.49,70,0
20150904,25,25.49,25,25.49,610,0
20150907,25.63,25.7,25.63,25.7,300,0
20150908,25.21,25.8,25.21,25.8,1052,0
20150909,25.12,25.68,25.1,25.68,3547,0
20150910,25.57,25.57,25.57,25.57,3,0
20150911,25.11,25.49,25.1,25.49,1399,0
20150914,25.1,25.43,25.1,25.43,469,0
20150915,25.12,25.69,25.12,25.69,517,0
20150916,25.21,25.21,25,25.1,3825,0
20150917,25.05,25.73,25.05,25.5,1931,0
20150918,24.91,25.39,24.91,25.39,1207,0
20150921,25.31,25.31,24.9,25.3,1949,0
20150922,24.91,25.36,24.91,25.35,1146,0
20150924,24.61,25.07,24.61,25.04,1485,0
20150925,25.19,25.2,24.99,25.2,1112,0
20150928,25.4,25.6,24.61,25.3,1300,0
20150929,25.5,25.6,25.3,25.6,1000,0
20150930,25.6,25.84,25.6,25.79,1168,0
20151001,25,25.5,25,25.5,100,0
20151002,25.1,25.5,25.1,25.5,1057,0
20151005,25.12,25.6,25.12,25.6,1143,0
20151006,25.27,25.63,25.27,25.63,1017,0
20151007,25.64,25.65,25.36,25.65,462,0
20151008,25.6,25.6,25.6,25.6,120,0
20151009,25.27,25.8,25.27,25.8,3996,0
20151012,25.85,25.85,25.7,25.7,190,0
20151013,25.5,25.7,25.5,25.7,519,0
20151014,25.26,25.5,25.26,25.5,555,0
20151015,25.5,25.55,25.5,25.55,90773,0
20151016,25.65,25.7,25.55,25.55,518,0
20151019,25.55,25.55,25.55,25.55,2212,0
20151020,25.55,25.65,25.55,25.65,227,0
20151021,25.55,25.55,25.54,25.54,31752,0
20151023,25.26,25.5,25.17,25.5,3072,0
20151026,24.99,25.47,24.91,25.47,3825,0
20151027,25.05,25.47,25.05,25.47,526,0
20151028,25.1,26.29,25.1,25.9,589697,0
20151029,26,26.15,25.61,25.61,678,0
20151030,25.6,25.9,25.6,25.9,246,0
20151102,25.9,25.9,25.9,25.9,20,0
20151103,25.6,25.88,25.02,25.88,196,0
20151104,25.88,25.88,25.79,25.79,3,0
20151105,25.31,25.7,25.31,25.7,63,0
20151106,25.7,25.7,25.7,25.7,390,0
20151109,25.69,25.69,24.9,24.9,1519,0
20151110,24.71,24.89,24.7,24.89,253,0
20151112,24.61,24.9,24.6,24.9,156,0
20151113,24.61,25,24.6,25,2129,0
20151116,24.8,25,24.8,24.8,502,0
20151117,24.8,25,24.8,25,1374,0
20151118,25,25.35,25,25.35,1276,0
20151119,25.01,25.44,25,25.43,763,0
20151120,25.5,25.5,25.01,25.49,111,0
20151123,25.01,25.01,25,25,1079,0
20151124,25,25.02,25,25,9199,0
20151125,25,25,25,25,15577,0
